Word,Word_Length,Num_Syllables,Part_of_Speech,Etymology1,Etymology2,Etymology3,Etymology4,Etymology5,Etymology6,Etymology7,1996 Round,1996 Error,1997 Round,1997 Error,1998 Round,1998 Error,1999 Round,1999 Error,2000 Round,2000 Error,2001 Round,2001 Error,2002 Round,2002 Error,2003 Round,2003 Error,2004 Round,2004 Error,2005 Round,2005 Error,2006 Round,2006 Error,2007 Round,2007 Error,2008 Round,2008 Error,2009 Round,2009 Error,2010 Round,2010 Error,2011 Round,2011 Error,2012 Round,2012 Error,2013 Round,2013 Error,2014 Round,2014 Error,2015 Round,2015 Error,2016 Round,2016 Error,2017 Round,2017 Error
coiffeuse,9,2,noun, French  ,,,,,,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abattoir,8,3,noun, French  ,,,,,,,,,,,5,0,,,,,,,,,,,,,2,0,,,,,,,,,,,,,,,5,0,,,,,,,,
bockwurst,9,2,noun, German  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,,,,,,,,,,,,,,,,
gagaku,6,3,noun, Japanese  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,,,,,,,,,2,0,,
dimity,6,3,noun, Middle English  ,Medieval Latin,Greek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1
extrorse,8,2,adjective, New Latin,Late Latin,Latin,,,,,,,,,,,,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,
gaillardia,10,3,noun, New Latin  ,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,,,,,,,,,,,,,,,,,4,1,,
varicella,9,4,noun, New Latin  ,Medieval Latin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,,,,,,
aardwolf,8,2,noun,Afrikaans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0
berghaan,8,2,noun,Afrikaans,Middle Dutch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,0
eland,5,2,noun,Afrikaans, Dutch  ,German,Lithuanian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,,,,,,,3,0,,,,,,,,
geelhout,8,2,noun,Afrikaans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,,,
gifblaar,8,2,noun,Afrikaans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,0
hartebeest,10,2,noun,Afrikaans, Dutch  ,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,2,0,3,0,,,2,0,2,0,,,,,,
jacopever,9,4,noun,Afrikaans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,,
keurboom,8,2,noun,Afrikaans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,0,,
uintjie,7,2,noun,Afrikaans,Latin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,0,,
klipspringer,12,3,noun,Afrikaans  ,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afrikaans,9,3,noun,Afrikaans  ,Afrikaans,Latin,,,,,,,,,,,,,,,5,0,,,,,,,,,,,,,3,1,,,,,,,,,,,,,,,,,,
apartheid,9,2,noun,Afrikaans  ,,,,,,,,,,,,,,,,,,,,,4,0,,,,,,,,,,,,,3,1,2,0,3,0,2,0,2,0,,,,,,
