Word,Year,Round,Part_of_Speech,Language,Times_Used,Years_Since_Last_Used,Num_Syllables,Word_Length,Reduplication,Error
wraith,1999,3,noun,Germanic,1,0,1,6,0,0
hobbledehoy,2012,3,noun,Germanic,1,0,4,11,1,0
Stockholm,2016,3,noun,Germanic,1,0,2,9,0,1
sententious,2009,4,adjective,Germanic,1,0,3,11,1,0
solstitial,1998,1,adjective,Germanic,1,0,3,10,1,0
accessible,1998,2,adjective,Germanic,1,0,4,10,1,0
affable,2016,3,adjective,Germanic,1,0,3,7,1,0
aggregate,2013,2,adjective,Germanic,1,0,3,9,1,0
allothogenic,2012,5,adjective,Germanic,1,0,5,12,1,0
aloof,2007,2,adjective,Germanic,1,0,2,5,1,0
approbatory,1996,2,adjective,Germanic,1,0,5,11,1,0
appurtenant,1999,1,adjective,Germanic,1,0,4,11,1,0
bellicose,2013,2,adjective,Germanic,1,0,3,9,1,0
blottesque,2013,3,adjective,Germanic,1,0,2,10,1,0
caitiff,1999,5,adjective,Germanic,1,0,2,7,1,1
callow,1997,2,adjective,Germanic,1,0,2,6,1,1
chippendale,1996,3,adjective,Germanic,1,0,3,11,1,0
collateral,1998,2,adjective,Germanic,1,0,4,10,1,0
collegiate,2009,2,adjective,Germanic,1,0,3,10,1,0
diffident,1997,2,adjective,Germanic,1,0,3,9,1,0
discreet,1996,2,adjective,Germanic,1,0,2,8,1,0
dissonant,2010,2,adjective,Germanic,1,0,3,9,1,0
ecclesiastical,1999,3,adjective,Germanic,1,0,6,14,1,1
efficient,2009,2,adjective,Germanic,1,0,3,9,1,0
equipollent,1996,5,adjective,Germanic,1,0,3,11,1,0
fallow,1999,3,adjective,Germanic,1,0,2,6,1,0
flippant,2009,2,adjective,Germanic,1,0,2,8,1,0
gibbous,1999,3,adjective,Germanic,1,0,2,7,1,0
immaculate,2001,2,adjective,Germanic,1,0,4,10,1,0
immortal,2007,2,adjective,Germanic,1,0,3,8,1,0
incessant,2009,2,adjective,Germanic,1,0,3,9,1,0
incorrigible,1999,3,adjective,Germanic,1,0,5,12,1,0
ineffable,2005,3,adjective,Germanic,1,0,4,9,1,0
inenarrable,1998,3,adjective,Germanic,1,0,4,11,1,1
infallible,2000,2,adjective,Germanic,1,0,4,10,1,1
innumerable,1999,2,adjective,Germanic,1,0,5,11,1,0
irrevocable,2017,3,adjective,Germanic,1,0,5,11,1,1
malleable,2017,2,adjective,Germanic,1,0,3,9,1,0
mellifluous,2008,3,adjective,Germanic,1,0,4,11,1,0
preeminent,1998,2,adjective,Germanic,1,0,4,10,1,0
promissory,2009,2,adjective,Germanic,1,0,4,10,1,1
remediless,1996,2,adjective,Germanic,1,0,4,10,1,1
sagittal,1997,1,adjective,Germanic,1,0,3,8,1,0
scrannel,2010,6,adjective,Germanic,1,0,2,8,1,0
succedent,2010,2,adjective,Germanic,1,0,3,9,1,0
surreptitious,1997,1,adjective,Germanic,1,0,4,13,1,0
terrene,1999,10,adjective,Germanic,1,0,2,7,1,1
abominable,1997,2,adjective,Germanic,1,0,4,10,0,0
acoelous,1999,7,adjective,Germanic,1,0,2,8,0,1
adamantine,1999,1,adjective,Germanic,1,0,4,10,0,0
aidant,2012,2,adjective,Germanic,1,0,2,6,0,0
amicable,2001,2,adjective,Germanic,1,0,4,8,0,0
apocryphal,1996,4,adjective,Germanic,1,0,3,10,0,1
aureate,2000,7,adjective,Germanic,1,0,3,7,0,1
baneful,1996,2,adjective,Germanic,1,0,2,7,0,1
Bauhaus,1999,4,adjective,Germanic,1,0,2,7,0,1
benighted,1996,3,adjective,Germanic,1,0,3,9,0,0
brazen,1996,2,adjective,Germanic,1,0,2,6,0,1
brutal,2009,2,adjective,Germanic,1,0,2,6,0,0
canicular,1997,10,adjective,Germanic,1,0,4,9,0,1
celestial,1997,2,adjective,Germanic,1,0,3,9,0,0
chary,1996,5,adjective,Germanic,1,0,2,5,0,0
coercible,1996,2,adjective,Germanic,1,0,4,9,0,0
concatenate,2009,3,adjective,Germanic,1,0,4,11,0,1
condign,1996,6,adjective,Germanic,1,0,2,7,0,1
contrariant,2008,2,adjective,Germanic,1,0,4,11,0,0
copious,2010,2,adjective,Germanic,1,0,3,7,0,0
corporeal,1997,4,adjective,Germanic,1,0,4,9,0,1
corpulent,1999,1,adjective,Germanic,1,0,3,9,0,0
couchant,1998,1,adjective,Germanic,1,0,2,8,0,0
credible,2015,2,adjective,Germanic,1,0,3,8,0,0
culpable,1998,1,adjective,Germanic,1,0,3,8,0,0
delectable,2010,2,adjective,Germanic,1,0,4,10,0,0
demure,2010,2,adjective,Germanic,1,0,2,6,0,0
destitute,2000,2,adjective,Germanic,1,0,3,9,0,0
dilatory,1997,3,adjective,Germanic,1,0,4,8,0,0
diligent,2009,2,adjective,Germanic,1,0,3,8,0,0
discrete,2008,2,adjective,Germanic,1,0,2,8,0,0
disparate,2016,3,adjective,Germanic,1,0,3,9,0,0
distraught,2009,2,adjective,Germanic,1,0,2,10,0,0
diurnal,1999,3,adjective,Germanic,1,0,3,7,0,0
divers,1998,4,adjective,Germanic,1,0,2,6,0,0
domestic,2009,2,adjective,Germanic,1,0,3,8,0,0
dropsical,1996,5,adjective,Germanic,1,0,3,9,0,1
dulcet,1999,4,adjective,Germanic,1,0,2,6,0,1
durchkomponiert,2017,27,adjective,Germanic,1,0,4,15,0,0
echt,2000,8,adjective,Germanic,1,0,1,4,0,0
ensuant,1996,3,adjective,Germanic,1,0,3,7,0,1
equivalent,2007,2,adjective,Germanic,1,0,3,10,0,0
ersatz,1997,4,adjective,Germanic,1,0,2,6,0,1
erudite,2013,2,adjective,Germanic,1,0,3,7,0,0
eutrophic,1999,1,adjective,Germanic,1,0,3,9,0,0
exorbitant,2008,2,adjective,Germanic,1,0,4,10,0,0
facund,2013,3,adjective,Germanic,1,0,2,6,0,0
fastidious,2013,2,adjective,Germanic,1,0,4,10,0,0
Fauntleroy,2001,1,adjective,Germanic,1,0,3,10,0,0
fecund,2000,1,adjective,Germanic,1,0,2,6,0,0
fervent,1999,2,adjective,Germanic,1,0,2,7,0,0
filial,2016,3,adjective,Germanic,1,0,2,6,0,1
finite,1997,3,adjective,Germanic,1,0,2,6,0,0
flagitious,1997,1,adjective,Germanic,1,0,3,10,0,0
forgeable,1997,3,adjective,Germanic,1,0,3,9,0,0
formidable,2015,2,adjective,Germanic,1,0,4,10,0,0
frangible,1998,3,adjective,Germanic,1,0,3,9,0,0
frivolous,1997,3,adjective,Germanic,1,0,3,9,0,0
frore,2012,4,adjective,Germanic,1,0,1,5,0,0
fugitive,2009,2,adjective,Germanic,1,0,3,8,0,0
fulgent,1998,3,adjective,Germanic,1,0,2,7,0,0
garbled,1996,2,adjective,Germanic,1,0,2,7,0,0
general,2009,2,adjective,Germanic,1,0,3,7,0,0
ghastly,2007,2,adjective,Germanic,1,0,2,7,0,0
gorgeous,1997,2,adjective,Germanic,1,0,2,8,0,0
graphitic,1996,2,adjective,Germanic,1,0,3,9,0,0
gumptious,2008,2,adjective,Germanic,1,0,2,9,0,0
habile,2006,4,adjective,Germanic,1,0,2,6,0,0
heathen,2000,2,adjective,Germanic,1,0,2,7,0,1
hereditary,2007,2,adjective,Germanic,1,0,4,10,0,0
heuristic,1996,5,adjective,Germanic,1,0,3,9,0,1
hoarse,2007,2,adjective,Germanic,1,0,1,6,0,0
hundredth,1996,2,adjective,Germanic,1,0,2,9,0,0
impenitent,2016,3,adjective,Germanic,1,0,4,10,0,1
imperceptible,1997,2,adjective,Germanic,1,0,5,13,0,0
imperturbable,1997,3,adjective,Germanic,1,0,4,13,0,0
importune,2017,3,adjective,Germanic,1,0,3,9,0,0
inadvertent,2006,3,adjective,Germanic,1,0,4,11,0,0
incomparable,2009,2,adjective,Germanic,1,0,5,12,0,0
incompatible,1997,2,adjective,Germanic,1,0,5,12,0,0
indebted,1996,2,adjective,Germanic,1,0,3,8,0,0
indigent,1999,2,adjective,Germanic,1,0,3,8,0,0
indubitable,2012,2,adjective,Germanic,1,0,5,11,0,0
ingenious,2015,2,adjective,Germanic,1,0,3,9,0,0
inimitable,1997,3,adjective,Germanic,1,0,5,10,0,0
inordinate,2001,2,adjective,Germanic,1,0,4,10,0,0
inscrutable,1999,2,adjective,Germanic,1,0,4,11,0,0
insolent,1997,2,adjective,Germanic,1,0,3,8,0,0
interminable,1999,3,adjective,Germanic,1,0,5,12,0,0
intricate,2009,2,adjective,Germanic,1,0,3,9,0,0
inviolable,1998,2,adjective,Germanic,1,0,5,10,0,1
jealous,2007,2,adjective,Germanic,1,0,2,7,0,0
lebhaft,2003,9,adjective,Germanic,1,0,2,7,0,0
legible,2007,2,adjective,Germanic,1,0,3,7,0,0
lenitive,2004,4,adjective,Germanic,1,0,3,8,0,0
leonine,1998,1,adjective,Germanic,1,0,3,7,0,0
liable,2007,2,adjective,Germanic,1,0,3,6,0,0
lithe,2015,2,adjective,Germanic,1,0,1,5,0,0
litigious,2014,3,adjective,Germanic,1,0,3,9,0,0
loathsome,2017,3,adjective,Germanic,1,0,2,9,0,0
lucrative,2009,2,adjective,Germanic,1,0,3,9,0,0
lumpen,2000,7,adjective,Germanic,1,0,2,6,0,1
manifold,1999,2,adjective,Germanic,1,0,3,8,0,0
matutine,2001,1,adjective,Germanic,1,0,3,8,0,1
maudlin,1997,3,adjective,Germanic,1,0,2,7,0,1
mediate,2000,2,adjective,Germanic,1,0,3,7,0,0
meridional,2010,3,adjective,Germanic,1,0,5,10,0,0
milchig,2005,2,adjective,Germanic,1,0,2,7,0,0
miscreant,1998,3,adjective,Germanic,1,0,3,9,0,0
mucilaginous,1997,1,adjective,Germanic,1,0,5,12,0,1
navicular,1998,3,adjective,Germanic,1,0,4,9,0,1
nimious,2011,3,adjective,Germanic,1,0,3,7,0,0
noisome,1997,3,adjective,Germanic,1,0,2,7,0,0
nominal,2000,2,adjective,Germanic,1,0,3,7,0,0
nonpareil,1996,6,adjective,Germanic,1,0,3,9,0,0
obdurate,2005,3,adjective,Germanic,1,0,3,8,0,0
obedient,2007,2,adjective,Germanic,1,0,3,8,0,0
obsequious,1997,1,adjective,Germanic,1,0,4,10,0,0
oleaginous,1997,1,adjective,Germanic,1,0,4,10,0,0
omnipotent,2015,2,adjective,Germanic,1,0,4,10,0,0
onerous,1997,1,adjective,Germanic,1,0,2,7,0,0
orthodox,2015,2,adjective,Germanic,1,0,3,8,0,0
palpable,2010,2,adjective,Germanic,1,0,3,8,0,0
paralytic,1996,3,adjective,Germanic,1,0,4,9,0,0
parietal,1998,3,adjective,Germanic,1,0,4,8,0,1
peculiar,2009,2,adjective,Germanic,1,0,3,8,0,0
penitent,2009,2,adjective,Germanic,1,0,3,8,0,1
peremptory,1997,3,adjective,Germanic,1,0,4,10,0,0
permanent,2009,2,adjective,Germanic,1,0,3,9,0,0
pernicious,2003,3,adjective,Germanic,1,0,3,10,0,0
perpetual,2009,2,adjective,Germanic,1,0,4,9,0,0
persuasible,2017,3,adjective,Germanic,1,0,4,11,0,1
plenary,2010,2,adjective,Germanic,1,0,3,7,0,0
pluperfect,1996,2,adjective,Germanic,1,0,3,10,0,0
poignant,1997,3,adjective,Germanic,1,0,2,8,0,0
potable,1999,3,adjective,Germanic,1,0,3,7,0,1
precedent,1999,2,adjective,Germanic,1,0,3,9,0,0
primitive,2007,2,adjective,Germanic,1,0,3,9,0,0
primordial,2000,3,adjective,Germanic,1,0,4,10,0,0
profuse,2009,2,adjective,Germanic,1,0,2,7,0,0
prolix,2001,2,adjective,Germanic,1,0,2,6,0,1
propitious,1997,4,adjective,Germanic,1,0,3,10,0,0
purblind,1999,4,adjective,Germanic,1,0,2,8,0,1
putative,1998,2,adjective,Germanic,1,0,3,8,0,1
quotidian,1997,5,adjective,Germanic,1,0,4,9,0,0
radical,2007,2,adjective,Germanic,1,0,3,7,0,0
ramage,1996,4,adjective,Germanic,1,0,2,6,0,1
rampant,2009,2,adjective,Germanic,1,0,2,7,0,0
ramshackle,2001,2,adjective,Germanic,1,0,3,10,0,0
recreant,1997,1,adjective,Germanic,1,0,3,8,0,0
religious,2007,2,adjective,Germanic,1,0,3,9,0,0
replete,1998,2,adjective,Germanic,1,0,2,7,0,0
requisite,1997,2,adjective,Germanic,1,0,3,9,0,0
revocable,2008,2,adjective,Germanic,1,0,4,9,0,1
rubicund,2016,3,adjective,Germanic,1,0,3,8,0,1
rutilant,1998,5,adjective,Germanic,1,0,3,8,0,0
sacerdotal,1998,1,adjective,Germanic,1,0,4,10,0,0
sanguine,2003,1,adjective,Germanic,1,0,2,8,0,0
sapiential,1997,7,adjective,Germanic,1,0,3,10,0,0
saturnine,1996,3,adjective,Germanic,1,0,3,9,0,0
sedative,2009,2,adjective,Germanic,1,0,3,8,0,0
sempiternal,2017,2,adjective,Germanic,1,0,4,11,0,0
serpiginous,2004,10,adjective,Germanic,1,0,4,11,0,0
shrieval,2004,6,adjective,Germanic,1,0,2,8,0,0
somnolent,2000,3,adjective,Germanic,1,0,3,9,0,0
specious,1997,4,adjective,Germanic,1,0,2,8,0,0
sterile,2009,2,adjective,Germanic,1,0,2,7,0,0
styptic,1996,5,adjective,Germanic,1,0,2,7,0,1
temporal,2015,2,adjective,Germanic,1,0,3,8,0,0
tepid,2001,2,adjective,Germanic,1,0,2,5,0,0
timorous,1996,2,adjective,Germanic,1,0,3,8,0,0
transitory,2009,2,adjective,Germanic,1,0,4,10,0,0
vagile,2001,3,adjective,Germanic,1,0,2,6,0,0
valiant,2009,2,adjective,Germanic,1,0,2,7,0,1
venerable,1999,2,adjective,Germanic,1,0,4,9,0,0
venomous,2017,2,adjective,Germanic,1,0,3,8,0,0
verboten,1998,6,adjective,Germanic,1,0,3,8,0,0
virulent,1996,2,adjective,Germanic,1,0,3,8,0,1
vitreous,2016,2,adjective,Germanic,1,0,3,8,0,0
wanton,2015,2,adjective,Germanic,1,0,2,6,0,0
winsome,1999,2,adjective,Germanic,1,0,2,7,0,0
wizened,1996,3,adjective,Germanic,1,0,2,7,0,0
woebegone,1999,2,adjective,Germanic,1,0,3,9,0,1
yearnful,2016,3,adjective,Germanic,1,0,2,8,0,0
widdershins,2004,2,other,Germanic,1,0,3,11,1,0
blithely,1997,1,other,Germanic,1,0,2,8,0,0
derogatorily,1997,1,other,Germanic,1,0,6,12,0,1
